"08/09/16, 10:44 - יצרת את הקבוצה ""פרוייקט"""
08/09/16, 10:44 - Yochai: <מדיה הושמטה>
08/09/16, 10:45 - Yochai: טופס ששלושתינו צריכים לחתום
11/09/16, 09:58 - Yochai: תגידו יש היום פגישה?
12/09/16, 00:02 - אנונימוס: <מדיה הושמטה>
12/09/16, 05:46 - אנונימוס: לך תזדיין
12/09/16, 05:46 - אנונימוס: לא עושה שום סקר ספרות
12/09/16, 05:46 - אנונימוס: מצדי שלא יהיה פרוייקט חח
12/09/16, 07:30 - אנונימוס: <מדיה הושמטה>
12/09/16, 07:30 - אנונימוס: הבאתי לנו
12/09/16, 07:31 - אנונימוס: כשנשב על הפרויייקט שלא יהיה משעמם 😉
13/09/16, 10:35 - Yochai: אנונימוס תגיד הטפסים של מנדי אצלך נכון?
13/09/16, 10:38 - אנונימוס: אנונימוס טס היום לא
13/09/16, 10:38 - אנונימוס: ?
13/09/16, 10:39 - אנונימוס: אנונימוס
13/09/16, 10:39 - אנונימוס: אל תחזור בלי לזיין
13/09/16, 10:39 - אנונימוס: תישאר שם
13/09/16, 10:39 - Yochai: חחח
13/09/16, 11:27 - אנונימוס: <מדיה הושמטה>
13/09/16, 11:28 - Yochai: תביא את המספר
13/09/16, 11:29 - אנונימוס: איתי נרדי.vcf (קובץ מצורף)
13/09/16, 11:36 - Yochai: סבבה
13/09/16, 11:41 - Yochai: דרך אגב אני מתחיל לבנות את הבסיס של צד הclient
13/09/16, 11:42 - אנונימוס: הלו
13/09/16, 11:42 - Yochai: אנונימוס אל תשכח לעשות בברלין את הסקר ספרות
13/09/16, 11:42 - אנונימוס: לא תחשבו שאני עושה סקר ספרות
13/09/16, 11:42 - אנונימוס: אני יעשה תשרת
13/09/16, 11:42 - Yochai: כולם עושים
13/09/16, 11:42 - Yochai: מי מקשיב לארז
13/09/16, 11:43 - Yochai: כל אחד יתרגם 2-3 מאמרים
13/09/16, 11:43 - אנונימוס: פחות מה 2 3
13/09/16, 11:43 - Yochai: חחח
13/09/16, 11:43 - אנונימוס: כל אחד 1
13/09/16, 11:43 - אנונימוס: אנונימוס 2
13/09/16, 11:43 - Yochai: נכון
13/09/16, 11:43 - Yochai: 👍🏾
13/09/16, 11:43 - אנונימוס: כי הוא english speaker
13/09/16, 11:43 - אנונימוס: מתי ההרשמה לקורסים
13/09/16, 11:44 - Yochai: נראה ךי 25
13/09/16, 13:14 - אנונימוס: <מדיה הושמטה>
16/09/16, 15:53 - Yochai: אנונימוס תגיד,  כשאני עושה את צד הclient יש לי קוד javascript וקוד  של angularjs  עכשיו צד שרת יהיה בגאווה, איך אני אקבל את האובייקטים של הjson ?  צד השרת יהיה כאילו api?
16/09/16, 15:54 - אנונימוס: כן נכתוב אותו ב rest
16/09/16, 15:54 - אנונימוס: יהיה לך rest api
16/09/16, 15:54 - Yochai: 👍🏾
16/09/16, 15:55 - אנונימוס: אני מעדיף שצד השרת יהיה ב java ולא פייטון
16/09/16, 15:55 - Yochai: גם אני
16/09/16, 15:55 - אנונימוס: ללמוד פייטון זה דבר אחד אבל כדי להשתמש בו לבאקנד
16/09/16, 15:55 - אנונימוס: זה לא יהיה פשוט בכלל
16/09/16, 15:55 - Yochai: ארז מזיין את המוח על זה
16/09/16, 15:55 - אנונימוס: הוא לא מבין בזה בכלל
16/09/16, 15:55 - אנונימוס: זה יהיה לנו מאוד קשה ויקח לנו הרבה זמן ללמוד
16/09/16, 15:56 - אנונימוס: את המנוע של המאשינ לארנינג נכתוב בפייטון
16/09/16, 15:56 - אנונימוס: (נוריד אחד מוכן ונשנה אותו )
16/09/16, 15:56 - Yochai: אני אגיד לך מה, הפרוייקט שאני עובד עליו זה כמעט אותו דבר מה שאנחנו הולכים לעשות
16/09/16, 15:56 - Yochai: והבעיה היחידה שלא נשתמש בפניטון
16/09/16, 15:56 - אנונימוס: מעולה
16/09/16, 15:56 - Yochai: פייטון זה הקטע של הספריות
16/09/16, 15:57 - אנונימוס: בסדר ברור אבל אפשר לבנות את המנוע הזה בתור מודול נפרד
16/09/16, 15:57 - אנונימוס: בפייטון
16/09/16, 15:57 - Yochai: הפרוייקט שלי עובד גם בפייטון וגם בגאווה רק בגלל שככה אפשר לנצל את הספריות שנצטרך..שאלתי גם את הבחור מאיאמסי
16/09/16, 15:57 - אנונימוס: ולא לכתוב את הצד שרת עצמו בפייטון
16/09/16, 15:57 - אנונימוס: את ה api אני מתכון
16/09/16, 15:57 - אנונימוס: ברור נו ככה עובדים
